source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ruwe
183318588701979136,81.85312350829746,35.590665134421656,15.971478413487583,0.02888709,35.35407949818152,0.03631532,-45.42222499385997,0.02578076,1.4679674,6.4301305,14.893543,16.42766,13.689406,1.1367751
4904539707831287936,2.0375171033874864,-62.30568896211195,19.457292076027407,0.016423842,-45.04891299041554,0.016764216,-49.49278828514987,0.018732283,13.505342,2.5344677,14.493571,15.948568,13.318094,1.0628055
1396961172704899456,237.59783141667623,44.29385503120405,19.384470552604235,0.018387139,-75.8978681540734,0.019047087,-52.36440068346876,0.02508131,7.7480717,2.666121,14.701303,16.232927,13.502099,1.1412655
89630989601359744,39.60223614777575,23.088661876015472,23.751261559182257,0.027614512,9.997558005993437,0.029259782,6.119257350417105,0.026885342,18.336912,0.40611333,11.541603,12.505204,10.567966,1.3264896
4875648012587713536,75.77324338581471,-30.833726861510467,11.622709542705548,0.021629836,14.541946972123084,0.022439219,-79.11145961579538,0.022668803,-4.953912,5.012757,14.999071,16.336464,13.860885,1.1212776
3837787032571807744,142.9554828845096,-2.5830578965272055,16.702442817034456,0.027830549,16.648653548526305,0.027718404,-84.35898405926666,0.021439245,15.384969,4.01063,14.901433,16.3995,13.71043,1.0332563
1032237355995776000,125.10721183330443,54.60266111989681,20.81597989807887,0.019531723,-67.61680420379487,0.018032452,-91.40533807302148,0.018525185,22.503145,0.36251703,11.773294,12.809324,10.764852,1.2432135
1854946592185212672,320.6191357517217,33.18427176061538,16.360146006766456,0.020236311,140.4036754414078,0.013979458,82.13705824462727,0.018433908,-46.138878,2.764639,14.325255,15.840926,13.023356,1.2709988
4822047026891908992,82.0260562006019,-35.53249685327989,15.99315473342214,0.016454998,-57.41065859126789,0.015515097,20.880916252045587,0.019703144,46.680443,2.8235803,14.571299,15.91706,13.431894,1.099855
6424093742678997120,304.29031443668714,-67.45566017315028,13.664826489064154,0.02093807,39.644702473461706,0.015286421,-79.99394925534374,0.021380994,-17.017357,0.43827727,6.689389,6.787709,6.486017,0.97724944
5560646952151152128,110.50421371954394,-41.58563282314216,13.33131123309436,0.013965937,-126.45421544878974,0.016064826,178.97184302739373,0.017280167,12.672971,1.6986349,14.292348,15.515715,13.201585,1.123875
5530598364517645312,117.47879496698847,-46.79066175520128,12.239653663001256,0.01455404,-31.91726348837066,0.017558165,86.37003696221356,0.018186476,-12.130208,2.3489366,14.27319,15.368904,13.233326,1.0147923
4837517086775211776,64.35083879329844,-45.9335906589442,13.395363024825414,0.010186805,55.97844525032699,0.011423951,-182.5229897852529,0.012337999,9.017873,0.21398707,10.507969,11.03277,9.833937,1.0885341
4100136279442194048,281.8863115902983,-15.90385439750654,15.472254033987165,0.02796486,33.518464144287655,0.02773171,-34.72364770927355,0.0239919,-43.977818,4.112514,14.805543,16.333899,13.606526,0.9716561
4379063172274110848,251.91829037430887,-2.0254880431744033,10.376402491383008,0.01473151,-16.042482501397526,0.016229697,-30.544484468238444,0.013000034,-31.976755,0.19844536,10.044105,10.407721,9.512089,0.9908484
6866073880625024000,300.38285290923005,-20.77960214719686,13.331308387066391,0.016857307,51.928235835059425,0.016376141,-3.2417352908444292,0.010576493,-23.10671,1.1496679,13.310701,14.33602,12.30438,1.0664089
869913435026514688,111.91642873572714,24.33610522093934,14.006549548036949,0.017639995,-5.104265427850033,0.017505385,-96.09015347152982,0.015519028,-18.654259,0.5041868,10.990832,11.640628,10.222832,1.1590353
3406080078442456704,71.97411182701946,16.99011971606113,10.841664563609427,0.017498754,28.567964814457554,0.020633066,-64.5131416620974,0.014226292,52.21153,0.2695558,10.821944,11.2689495,10.209648,1.077224
1122837217203600000,122.07487208771228,72.2647114318612,20.845775184725397,0.022130063,-53.39022364204377,0.019154662,-23.38799256514608,0.024491599,2.3391953,5.425743,14.662248,16.266684,13.443053,1.2204974
3470081516424001280,188.54868647060457,-32.092674797563774,11.577144273229202,0.02751997,-80.25184583633921,0.02911486,12.378825336492689,0.020940889,2.9070935,0.15269828,6.9497848,7.037549,6.7655745,0.9804298
6185874790353556096,197.8123978380119,-28.83282721241233,10.55576615250792,0.025127506,-84.08044814880331,0.030561706,-2.1296995686173323,0.020144537,-4.9045353,0.23771548,8.826221,9.087573,8.384283,1.3029381
2704060527084617856,337.90718815502794,3.368244157057683,14.682922181344436,0.02587485,101.16327006480816,0.029653465,-36.648679066924664,0.023312163,-19.550665,5.247797,14.751968,16.056068,13.632127,1.0814689
1546754479348239872,181.33719746318448,49.66656636531467,10.309160981286912,0.018171292,96.38208228888116,0.01088621,-27.28658605833975,0.014551646,-25.633078,0.21231134,10.755416,11.178854,10.159358,1.3948663
1606092579275384064,221.21675517679037,54.14750267276794,12.42254253965006,0.010182942,-159.82349117727966,0.011082925,-16.253852240516483,0.012182886,-47.761536,0.38978967,11.908879,12.722134,11.025169,0.9715903
3304405248924668928,63.31371746814925,12.468228983598252,13.162965973854137,0.020117458,85.27216805346335,0.02545262,-137.52450603412726,0.016557045,-13.805936,0.40689772,11.218866,11.836273,10.468677,1.0271728
2811179687211228160,348.8951494761869,11.9317858748323,15.559584809309536,0.02102868,98.66639629536304,0.020883914,-75.80917564442171,0.01644841,-41.99166,0.8704186,13.519453,14.724587,12.427717,1.1418841
5908042358234161152,223.22146505666387,-44.58576837182518,11.90355745121063,0.035289846,-40.01604707330394,0.036830124,1.2131966693527914,0.031132733,7.5985084,2.4492676,14.869341,16.315796,13.694864,1.0044487
4306457402988985216,288.206236856231,7.59849382189063,14.873062308037373,0.033274796,45.43020510265193,0.02704005,-129.5949904701652,0.027556945,36.382286,2.6398606,14.487954,15.828709,13.346673,1.0859983
6714464936689554432,290.29029067513824,-40.67477260411646,20.217854692508514,0.020640653,20.495056929666248,0.020738384,-99.32751209579756,0.019160653,-31.92115,1.7794498,13.973419,15.612947,12.739666,1.1901482
539929998164808704,7.2050794660293365,76.20794774659826,10.538653434990056,0.012827325,32.88323817977698,0.014760945,-20.116444521845168,0.014505533,-11.661512,0.256369,8.719193,8.953953,8.32353,0.92158437
